time_of_day,avg_condition_8,avg_condition_6,avg_condition_10,avg_condition_1,avg_condition_7,avg_condition_12,avg_condition_4,avg_condition_21,avg_condition_20,avg_condition_19,avg_condition_18,avg_condition_17,avg_condition_5,avg_condition_15,avg_condition_9,avg_condition_3,avg_condition_13,avg_condition_22,avg_condition_11,avg_condition_14,avg_condition_16,avg_condition_23,avg_condition_2,avg_control_1,avg_control_21,avg_control_10,avg_control_17,avg_control_30,avg_control_15,avg_control_3,avg_control_27,avg_control_26,avg_control_25,avg_control_24,avg_control_18,avg_control_22,avg_control_20,avg_control_19,avg_control_29,avg_control_23,avg_control_16,avg_control_14,avg_control_13,avg_control_11,avg_control_9,avg_control_8,avg_control_7,avg_control_6,avg_control_5,avg_control_4,avg_control_31,avg_control_12,avg_control_32,avg_control_28,avg_control_2
00:00,99.77,70.47,43.47,39.44,136.93,72.93,181.53,35.93,36.89,181.47,35.33,81.20,173.53,160.47,106.57,206.93,343.06,9.53,122.00,20.40,14.14,354.18,8.89,107.36,225.41,2.13,46.65,42.40,77.53,66.37,148.71,116.13,6.27,237.80,322.71,113.07,13.27,137.84,166.59,88.00,76.53,358.47,59.00,198.00,77.70,275.40,217.14,78.97,33.55,85.00,115.03,61.54,128.92,218.53,249.18
00:01,101.46,47.67,69.60,83.69,237.73,84.40,270.07,54.29,75.89,119.47,65.60,132.73,128.20,189.87,86.71,266.67,410.67,8.87,116.62,33.33,21.24,324.68,17.26,97.11,256.14,16.87,34.45,110.27,91.27,74.57,105.29,112.48,2.47,377.87,352.94,113.07,8.59,51.26,218.06,100.20,115.88,209.13,72.87,151.35,36.50,241.45,232.39,66.78,79.91,101.95,115.03,64.04,76.89,179.24,224.14
00:02,151.92,168.13,72.33,82.81,269.00,140.40,195.53,32.43,36.78,65.53,51.40,138.47,177.20,142.47,148.07,182.47,389.89,8.07,97.38,34.47,51.72,224.41,12.74,73.14,225.14,4.87,26.85,85.07,93.20,86.15,95.79,46.17,0.00,322.53,280.76,191.73,38.73,30.42,160.71,96.93,76.88,169.60,68.40,206.88,26.35,277.30,268.72,88.14,51.85,167.36,116.75,122.79,44.19,197.29,250.91
00:03,84.85,124.20,94.53,44.88,146.13,160.07,175.00,31.43,56.17,98.87,52.60,96.73,175.93,106.07,117.07,217.27,305.89,8.07,98.44,23.27,50.76,148.36,12.56,65.94,300.09,3.00,29.70,37.27,179.80,60.91,53.64,86.13,22.53,286.87,379.82,113.73,9.14,22.42,113.88,62.53,51.24,180.73,47.40,146.00,37.45,259.05,370.36,150.39,25.12,78.50,58.58,80.04,51.11,204.41,218.86
00:04,109.23,102.93,74.87,69.50,160.20,131.20,112.60,74.64,23.33,81.33,53.93,74.53,117.53,103.20,184.14,293.07,343.89,7.13,94.12,5.60,31.97,193.09,6.07,91.14,216.91,19.60,39.25,58.13,136.40,64.78,43.71,48.61,14.00,212.27,353.71,94.93,0.41,20.74,78.82,110.13,59.88,141.00,27.40,177.76,82.60,277.25,364.81,168.78,18.67,41.45,91.81,77.42,99.72,303.41,164.14
00:05,61.77,58.47,83.33,63.19,200.00,96.60,105.87,39.29,7.28,36.60,83.13,83.00,105.47,98.67,134.36,222.33,210.50,10.13,143.62,19.73,57.41,209.59,6.59,94.03,205.00,19.27,47.55,148.33,210.40,46.76,9.14,41.39,0.00,175.00,306.00,111.73,4.27,35.47,210.65,100.27,49.29,222.93,7.33,154.35,72.45,328.40,326.08,126.06,28.79,89.59,150.19,53.50,79.89,208.18,197.05
00:06,36.08,53.73,64.73,71.75,171.67,125.60,169.27,29.36,0.39,16.33,64.67,154.60,132.27,104.60,89.50,263.53,158.50,2.73,162.12,28.13,101.31,251.14,9.00,99.17,295.36,5.07,43.75,105.00,175.80,51.09,13.57,25.43,0.33,194.07,299.47,127.93,8.18,76.68,72.47,169.07,31.53,360.53,0.00,107.47,61.30,317.55,336.22,75.53,84.58,145.82,168.11,72.67,121.42,275.24,248.91
00:07,56.38,122.80,3.60,113.56,142.80,56.00,111.07,5.64,0.17,10.93,59.00,149.00,124.20,62.00,112.00,239.73,139.17,16.80,155.12,20.73,107.93,193.82,6.63,123.42,254.32,5.00,23.95,76.20,145.13,57.85,3.50,59.70,6.80,209.80,231.88,189.80,0.41,83.89,54.18,131.93,41.41,317.60,37.00,193.82,62.55,205.75,262.53,78.11,67.21,149.18,131.72,70.79,107.19,264.76,228.23
00:08,41.08,175.13,9.93,130.38,162.80,52.07,163.53,0.57,8.39,49.00,71.47,153.27,53.40,79.67,172.64,216.00,154.89,37.53,183.25,22.07,71.66,176.18,6.07,126.58,194.41,16.80,49.10,68.53,73.67,77.83,60.57,82.30,25.07,143.27,230.88,67.40,8.59,117.47,35.18,149.33,61.47,206.60,6.80,63.00,79.10,280.00,182.22,110.50,53.97,119.91,106.28,21.29,51.25,255.41,280.91
00:09,177.08,48.47,39.40,93.31,189.60,71.60,87.27,1.21,7.00,86.53,91.33,120.87,70.33,42.73,125.43,234.27,145.94,3.33,124.81,29.27,69.93,143.86,14.89,67.19,220.82,26.27,28.80,42.07,193.73,33.76,42.86,80.57,8.67,358.87,234.82,42.47,11.00,110.16,28.24,171.40,44.41,272.93,10.00,67.12,50.10,217.30,122.14,60.92,44.70,111.36,142.56,43.96,76.86,266.06,287.36
